,CountryName,CountryCode,Year,Total Population,Urban population (% of total),Total Urban Population
2,Central Europe and the Baltics,CEB,1960,91401583.0,44.5079211390026,40680944
244,Central Europe and the Baltics,CEB,1961,92237118.0,45.206665319194,41697325
486,Central Europe and the Baltics,CEB,1962,93014890.0,45.866564696018,42662734
728,Central Europe and the Baltics,CEB,1963,93845749.0,46.5340927663649,43670267
970,Central Europe and the Baltics,CEB,1964,94722599.0,47.2087429803526,44717348
