x1,date,time,lat,lon,base,date_1
86,4/1/2014,6:42:00,40.7614,-73.9997,B02512,2014-04-01
87,4/1/2014,6:43:00,40.793,-73.9749,B02512,2014-04-01
88,4/1/2014,6:44:00,40.7231,-73.9442,B02512,2014-04-01
89,4/1/2014,6:45:00,40.7874,-73.9545,B02512,2014-04-01
90,4/1/2014,6:47:00,40.7689,-73.9812,B02512,2014-04-01
91,4/1/2014,6:47:00,40.7789,-73.9557,B02512,2014-04-01
92,4/1/2014,6:48:00,40.7271,-74.0054,B02512,2014-04-01
93,4/1/2014,6:52:00,40.7877,-73.973,B02512,2014-04-01
94,4/1/2014,6:52:00,40.7255,-74.0092,B02512,2014-04-01
95,4/1/2014,6:54:00,40.7653,-73.9723,B02512,2014-04-01
96,4/1/2014,6:56:00,40.7644,-73.9769,B02512,2014-04-01
97,4/1/2014,6:57:00,40.7726,-73.9532,B02512,2014-04-01
98,4/1/2014,6:59:00,40.7898,-73.9661,B02512,2014-04-01
