custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C0001,m,0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.285334813,1,5840,0,cheese/butter
C0002,f,0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,9,1.901136399,4,22542,0.605678635,koreanbeef
C0003,m,0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.731507285,2,4990,0.011336381,chilledlivestock
C0004,f,0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,35,0.799674042,9,22394,0.461212206,beans
C0005,f,0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,22,1.324515513,15,6246.2,1.26525496,chilledlivestock
C0006,m,0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.31662479,1,3980,0,bottledfoods
C0008,m,0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,11,1.380229095,4,10637.5,0.303585408,chilleddairymilks
C0011,m,0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,8,2.285992748,5,3438,0.505114267,fermentedmilk
C0012,f,0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,17,1.431718904,9,5972.222222,0.641028359,icecream
C0013,f,0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.442712384,3,3550,0.834430673,eggs
C0015,m,0,0,0.42,0,0.25,0,0,0,0,0.21,0.11,0.36,46800,6,0,1,0,0,0,0,0,1,0,0,6,1.591198474,1,46800,0,beans
C0016,f,0.07,0.05,0,0.03,0.02,0,0.21,0.07,0.16,0,0.37,0.82,609108,81,0.08,0.68,0.24,0.04,0.18,0.2,0.06,0.11,0,0.41,81,1.278922379,34,17914.94118,0.842665805,othervegetables
C0017,f,0,0,0.44,0.16,0.08,0,0.11,0,0,0.19,0.03,0.55,51426,10,0.16,0.73,0.12,0,0.04,0.39,0.22,0.19,0,0.16,10,1.478997147,9,5714,0.531182234,importedbeef
C0019,f,0.07,0.08,0.01,0.48,0,0,0.07,0.08,0.09,0,0.11,0.73,53210,13,0,1,0,0.13,0,0.2,0.48,0,0.19,0,13,1.480874076,5,10642,0.523070641,apple/sweetmelon
C0020,m,0,0,1,0,0,0,0,0,0,0,0,0.09,10000,1,0,0,1,0,1,0,0,0,0,0,1,3.31662479,1,10000,0,otherreadymadefoods
C0021,m,0,0,0.08,0,0,0,0,0,0,0.92,0,0.18,40090,2,0,1,0,0,0.92,0,0,0,0.08,0,2,3.037697462,2,20045,1.189152886,maincereals
C0022,f,0.14,0.06,0.09,0.18,0.11,0,0.02,0.04,0.02,0.01,0.34,0.91,191418,46,0.08,0.89,0.03,0.07,0.02,0.44,0.1,0.12,0.02,0.23,46,1.100068335,22,8700.818182,1.526017922,rootvegetables
C0023,f,0,0.06,0.15,0.23,0.16,0,0.04,0,0.08,0.06,0.21,0.82,267788,69,0.07,0.82,0.11,0.14,0.18,0.24,0.15,0.06,0,0.22,69,0.907735197,42,6375.904762,0.673861975,beans
C0024,f,0.18,0.03,0.14,0.09,0.17,0,0.14,0.07,0.12,0.04,0.03,0.91,154058,34,0.23,0.64,0.13,0.11,0.32,0.04,0.19,0.17,0.13,0.04,34,0.698204567,18,8558.777778,0.979691946,milk
C0025,m,0.28,0,0.45,0,0.28,0,0,0,0,0,0,0.27,12970,3,0,0.72,0.28,0,0,0,0,0,1,0,3,1.779168168,2,6485,0.629145124,chilledagriculturalproducts
C0026,m,0,1,0,0,0,0,0,0,0,0,0,0.09,8820,2,0,0,1,0,0,0,0,0,1,0,2,3.31662479,1,8820,0,harddrinks
C0027,m,0,0,0,0,0,0,0,0,0,0,1,0.09,1990,1,0,1,0,0,0,0,1,0,0,0,1,3.31662479,1,1990,0,lattuce
C0028,f,0,0,0.02,0.63,0,0,0,0,0,0.35,0,0.27,28630,7,0,0.46,0.54,0.37,0.17,0,0,0.46,0,0,7,2.268488905,4,7157.5,0.792825367,cooky/cakes
C0030,f,0.03,0.16,0.21,0,0.21,0,0,0.32,0,0.07,0,0.55,13920,8,0.07,0.79,0.14,0,0.03,0.14,0.62,0.14,0.07,0,8,1.255661928,7,1988.571429,0.783173058,bottledfoods
C0031,f,0,0,0,0.66,0.24,0,0,0,0,0.1,0,0.27,19550,3,0,1,0,0,0,0,0,0,0,1,3,2.231475315,2,9775,0.45211431,candy-gum
C0032,m,0,0,0.59,0,0,0,0,0,0,0.41,0,0.18,2390,2,0,1,0,0.59,0.41,0,0,0,0,0,2,2.264518487,2,1195,0.242605674,bottledfoods
C0033,f,0.19,0.22,0.26,0,0.04,0,0,0,0,0.29,0,0.45,22430,10,0,0.41,0.59,0.32,0.28,0,0,0.33,0.04,0.03,10,1.322477309,9,2492.222222,0.912945274,softdrinks
C0034,m,0,0,1,0,0,0,0,0,0,0,0,0.09,13980,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,13980,0,instantfoods
C0035,m,0,0.34,0,0,0,0,0,0,0.66,0,0,0.18,11980,2,0,1,0,0,0.34,0,0,0,0,0.66,2,2.359053243,2,5990,0.450942889,harddrinks
C0036,m,0,0,0,0.62,0,0,0,0,0,0.38,0,0.18,7906,2,1,0,0,0,0,0,1,0,0,0,2,2.302527159,1,7906,0,cooky/cakes
C0037,f,0.03,0.02,0.28,0,0.39,0,0,0.05,0.09,0.14,0,0.64,75830,11,0.31,0.45,0.24,0,0.03,0,0,0.95,0.02,0,11,1.45452073,5,15166,0.914745171,bottledfoods
C0038,m,0,0,0,0,0.4,0,0,0.6,0,0,0,0.18,9800,3,0,1,0,0,0,0,0,1,0,0,3,2.280784589,1,9800,0,hairproducts
C0039,m,0,0,0,0,0,1,0,0,0,0,0,0.09,1600,1,0,1,0,0,0,1,0,0,0,0,1,3.31662479,1,1600,0,cosmetics
C0041,m,0.12,0.19,0.07,0.11,0.17,0,0.07,0.05,0.03,0.1,0.08,0.91,558644,114,0.36,0.61,0.02,0.19,0.25,0.08,0.2,0.13,0.08,0.07,114,0.611075074,44,12696.45455,1.017673051,softdrinks
C0042,m,0,0.1,0,0,0,0,0,0,0.51,0,0.4,0.27,19458,6,0.21,0.79,0,0.79,0.21,0,0,0,0,0,6,2.009149586,2,9729,0.834224652,eidbleherbs
C0043,f,0.09,0,0,0,0,0,0.29,0.06,0.23,0.07,0.26,0.55,34310,8,0,0.35,0.65,0.35,0,0.17,0,0,0.48,0,8,1.250797031,3,11436.66667,0.459459644,beans
C0044,m,0,1,0,0,0,0,0,0,0,0,0,0.09,23600,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,23600,0,coffee
C0045,m,0,0,0,0,0,0,1,0,0,0,0,0.09,16182,2,0,0.56,0.44,1,0,0,0,0,0,0,2,3.31662479,2,8091,0.158882725,koreanpork
C0047,f,0,0,0.39,0,0,0,0.23,0,0.27,0.11,0,0.36,18940,6,0,0.21,0.79,0.61,0,0,0,0.18,0.21,0,6,1.558081469,3,6313.333333,0.714082461,chilledlivestock
C0049,m,0,0,1,0,0,0,0,0,0,0,0,0.09,11880,1,0,1,0,1,0,0,0,0,0,0,1,3.31662479,1,11880,0,otherreadymadefoods
C0050,f,0.2,0.35,0.13,0,0,0,0.09,0,0.22,0,0,0.45,75381,8,0.22,0.71,0.07,0.7,0.13,0,0.09,0.07,0,0,8,1.342991419,5,15076.2,0.843964555,fermentedmilk
C0051,f,0.17,0.09,0.07,0.4,0.17,0,0,0.03,0,0.01,0.07,0.73,175670,45,0.05,0.7,0.25,0.16,0.06,0.34,0.12,0.14,0.02,0.17,45,1.31581557,28,6273.928571,1.0902167,fermentedmilk
C0052,m,0,0,0,0,0,0,0,0,0,1,0,0.09,1500,1,0,1,0,0,0,0,1,0,0,0,1,3.31662479,1,1500,0,bread
C0053,f,0.06,0.32,0,0,0.5,0,0,0.12,0,0,0,0.36,31470,5,0,0.5,0.5,0,0,0.82,0.12,0.06,0,0,5,1.840129723,3,10490,1.266576527,harddrinks
C0054,f,0,0,0,0,0,0,0,0,0,0,1,0.09,600,1,0,1,0,0,0,0,1,0,0,0,1,3.31662479,1,600,0,eidbleherbs
C0055,f,0.12,0,0.35,0.45,0,0,0,0,0,0,0.08,0.36,56931,11,0.45,0.44,0.11,0,0,0.85,0,0,0,0.15,11,1.748742978,6,9488.5,0.608303292,apple/sweetmelon
C0056,m,0,0,0.48,0,0,0,0,0,0.24,0.29,0,0.27,20970,3,0,1,0,0,1,0,0,0,0,0,3,1.822448162,1,20970,0,otherlivefish
C0057,f,0,0,0.07,0.13,0,0,0.62,0,0,0.13,0.05,0.45,29756,6,0.57,0.35,0.07,0,0,0.05,0.07,0.13,0.4,0.35,6,2.002773806,6,4959.333333,0.764682566,banana/importedfruits
C0058,f,0,0.03,0.04,0.05,0.09,0,0.39,0,0.25,0,0.14,0.64,170683,23,0,0.78,0.22,0,0.23,0,0.03,0.74,0.01,0,23,1.390252215,9,18964.77778,1.51055624,harddrinks
C0059,f,0.02,0.03,0.09,0.33,0.2,0,0.13,0,0.04,0.07,0.09,0.82,87864,18,0.11,0.37,0.52,0.23,0,0.04,0.4,0.3,0,0.03,18,1.09272656,13,6758.769231,0.740758739,kitchen/housedetergents
C0060,f,0,0,0,0,0.24,0,0.23,0,0.53,0,0,0.27,30340,4,0.23,0.77,0,0,0.57,0,0.43,0,0,0,4,1.899604221,3,10113.33333,0.624220467,driedfish
C0062,f,0.11,0,0.72,0,0,0,0,0.14,0,0.02,0,0.36,27717,4,0.83,0.17,0,0.14,0,0,0.11,0.02,0,0.72,4,2.367576027,4,6929.25,1.273664805,milk
C0063,m,0,0,0,0,0.09,0,0.17,0,0,0,0.74,0.27,47390,3,0,1,0,0,0,0.09,0,0,0.91,0,3,2.435542784,2,23695,1.14861954,dentalproducts
C0065,m,0,0,0,0.5,0,0,0.5,0,0,0,0,0.18,19800,2,0.5,0.5,0,0,0,0,0.5,0,0,0.5,2,2.224859546,2,9900,0,apple/sweetmelon
C0066,m,0,0,1,0,0,0,0,0,0,0,0,0.09,2990,1,0,0,1,0,0,0,0,0,0,1,1,3.31662479,1,2990,0,bottledfoods
C0067,f,0,0.02,0.07,0,0,0,0.67,0,0.24,0,0,0.36,91204,7,0.07,0.51,0.42,0.22,0.07,0,0.44,0.27,0,0,7,2.259604278,7,13029.14286,1.019505085,otherlivefish
C0068,m,0,0,1,0,0,0,0,0,0,0,0,0.09,990,1,0,0,1,0,0,0,0,1,0,0,1,3.31662479,1,990,0,processeddryfoods
C0069,f,0.1,0.06,0.08,0.17,0.06,0,0.27,0,0.13,0.04,0.08,0.91,338064,58,0.32,0.6,0.08,0.02,0,0.03,0.03,0.08,0.75,0.09,58,0.865969999,20,16903.2,1.276225342,harddrinks
C0070,f,0.06,0.01,0.16,0.22,0,0,0.18,0,0.21,0.11,0.04,0.91,549298,69,0,0.06,0.94,0.08,0.17,0.19,0.4,0,0,0.15,69,0.970774215,34,16155.82353,0.7274177,otherlivefish
C0071,f,0,0,0.11,0,0,0,0,0,0.83,0,0.06,0.27,17890,3,0,0.17,0.83,0,0,0,0,1,0,0,3,2.735125194,2,8945,0.941491533,chillednoodles
C0072,f,0.11,0.48,0.04,0.11,0,0,0,0,0.19,0,0.06,0.55,148215,23,0.43,0.27,0.3,0.16,0.23,0.22,0.26,0.07,0.01,0.05,23,1.591855054,17,8718.529412,0.852590175,harddrinks
C0073,f,0.34,0.01,0.03,0.15,0.1,0,0.22,0.02,0,0.07,0.08,0.82,106870,24,0,0.8,0.2,0.16,0.06,0.09,0.02,0.08,0,0.6,24,1.164194016,17,6286.470588,0.793634418,eggs
C0075,f,0.03,0.21,0.06,0.27,0.01,0,0.16,0.02,0.1,0.1,0.04,0.91,218109,38,0.57,0.37,0.06,0.07,0.04,0.32,0.05,0.2,0.33,0,38,0.97183605,13,16777.61538,0.501322968,harddrinks
C0076,f,0.24,0.02,0.09,0,0,0,0.14,0.28,0.03,0.1,0.11,0.73,60743,15,0.25,0.51,0.24,0.11,0.21,0.49,0,0,0.06,0.13,15,1.060389294,13,4672.538462,0.925922458,cooky/cakes
C0078,f,0.25,0.03,0.06,0,0,0,0,0.13,0,0.11,0.42,0.55,53290,14,0,0.46,0.54,0.14,0.11,0.04,0,0.11,0.38,0.22,14,1.497562542,10,5329,0.790521864,milk
C0079,m,0.23,0,0,0,0,0,0.77,0,0,0,0,0.18,4192,2,0,1,0,0,0,0,0.23,0.77,0,0,2,2.587667202,2,2096,0.759734958,chilleddairymilks
C0080,m,0,0,0.21,0.1,0,0,0,0,0,0.64,0.05,0.36,19180,9,0,1,0,0.16,0,0,0,0,0,0.84,9,2.121007151,3,6393.333333,0.669259717,bakery
C0084,f,0,0.63,0,0.01,0.08,0,0,0.11,0,0.11,0.06,0.55,97586,10,0.08,0.92,0,0,0.08,0.59,0.18,0,0.15,0,10,2.03992219,5,19517.2,0.893580934,softdrinks
C0085,f,0.18,0.02,0.06,0.14,0.08,0,0.41,0,0,0.05,0.06,0.73,234566,29,0.28,0.48,0.24,0,0.03,0.23,0.25,0,0.06,0.42,29,1.322125639,14,16754.71429,0.853583918,banana/importedfruits
C0087,m,1,0,0,0,0,0,0,0,0,0,0,0.09,1490,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,1490,0,chinesecabbages
C0089,m,0,1,0,0,0,0,0,0,0,0,0,0.09,1500,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,1500,0,softdrinks
C0090,m,0,1,0,0,0,0,0,0,0,0,0,0.09,8360,1,0,0,1,0,0,1,0,0,0,0,1,3.31662479,1,8360,0,harddrinks
C0091,m,0,0.15,0,0,0,0,0,0,0.18,0.67,0,0.27,43370,6,0,1,0,0.65,0,0,0,0,0,0.35,6,2.229830694,2,21685,0.430753082,cooky/cakes
C0093,f,0.19,0,0,0.37,0,0,0,0,0.44,0,0,0.27,13560,3,0.19,0.44,0.37,0,0,0,0.19,0,0.81,0,3,1.824503956,3,4520,0.383509898,banana/importedfruits
C0094,f,0,0,0.07,0,0.1,0,0.03,0,0.15,0.03,0.63,0.55,46384,16,0.15,0.65,0.2,0.11,0.4,0,0.31,0.09,0,0.09,16,2.056357011,10,4638.4,0.459935843,eidbleherbs
C0095,f,0.4,0,0.11,0,0,0,0,0,0.11,0.29,0.1,0.45,18790,10,0,0.54,0.46,0.55,0,0.1,0.35,0,0,0,10,1.500698384,5,3758,0.885788738,icecream
C0096,m,0,0,0,0,0,0,0,0,0,0,1,0.09,1557,1,0,1,0,0,0,1,0,0,0,0,1,3.31662479,1,1557,0,rootvegetables
C0097,f,0,0,0.11,0.2,0.33,0,0,0,0.2,0.04,0.12,0.55,50303,14,0.56,0.44,0,0.3,0.26,0.11,0.04,0,0.02,0.28,14,1.232875527,11,4573,0.792650775,snacks
C0098,f,0.12,0,0,0.2,0.01,0,0,0,0.12,0.03,0.53,0.55,112815,27,0.22,0.69,0.1,0.14,0.25,0.19,0.05,0.18,0.09,0.09,27,1.754158716,16,7050.9375,0.7620073,beans
C0099,f,0.21,0.07,0.07,0.27,0,0,0,0.18,0,0.2,0,0.55,43290,10,0.17,0.83,0,0.44,0,0.35,0.13,0,0,0.08,10,1.144760063,7,6184.285714,0.434985314,soysaucesandpastes
C0100,f,0.11,0.06,0.06,0.38,0.14,0,0.03,0.08,0,0.08,0.06,0.82,218220,54,0.13,0.71,0.16,0.06,0.05,0.32,0.23,0.12,0.08,0.14,54,1.149267098,25,8728.8,0.840653807,beans
C0101,f,0,0,0.49,0,0,0,0.51,0,0,0,0,0.18,2740,2,0,1,0,0,0,0,0,0,1,0,2,2.225149289,1,2740,0,chilledlivestock
C0102,f,0.02,0.06,0,0,0.33,0,0.15,0,0.05,0.38,0,0.55,38810,8,0,0.7,0.3,0,0,0,0,0,0.85,0.15,8,1.540751011,4,9702.5,0.468311231,harddrinks
C0103,m,0.2,0,0,0,0,0,0.51,0,0,0.29,0,0.27,6921,3,0,1,0,0,0,0,0,0.49,0,0.51,3,1.883615865,2,3460.5,0.02881146,fermentedmilk
C0104,f,0.39,0,0,0,0,0,0,0.15,0.2,0.25,0,0.36,11880,5,0.17,0.29,0.55,0,0.17,0.6,0.08,0,0,0.15,5,1.525104283,5,2376,0.58520302,cooky/cakes
C0105,f,0.12,0.34,0.32,0,0,0,0,0.18,0,0.04,0,0.45,97190,13,0,0.93,0.07,0,0,0.35,0.02,0.39,0.15,0.08,13,1.456524696,9,10798.88889,0.699042269,ramen
C0106,f,0.07,0.29,0.1,0.19,0.03,0,0.14,0.03,0.02,0.04,0.1,0.91,249354,35,0.02,0.14,0.84,0.33,0,0.16,0.06,0.25,0.07,0.12,35,0.952551684,23,10841.47826,0.688278358,harddrinks
C0107,m,0,0,0,1,0,0,0,0,0,0,0,0.09,690,1,0,0,1,1,0,0,0,0,0,0,1,3.31662479,1,690,0,fruitvegetables
C0108,f,0.06,0,0.2,0,0.18,0,0.39,0.07,0.02,0.05,0.03,0.73,104208,18,0.23,0.23,0.54,0.11,0,0.34,0.1,0.22,0.13,0.1,18,1.335191381,10,10420.8,0.951860458,icecream
C0109,m,0,0,0,0,0,0,0,0,1,0,0,0.09,3990,1,0,1,0,0,0,0,0,0,1,0,1,3.31662479,1,3990,0,driedfish
C0111,m,0,0,0,0.1,0,0,0.9,0,0,0,0,0.18,13260,2,0,1,0,0,0,0.9,0,0,0,0.1,2,2.979050094,2,6630,1.139049838,fruitvegetables
C0113,f,0.01,0.5,0,0.03,0,0,0.07,0.1,0.12,0.04,0.12,0.73,41590,12,0,0.13,0.87,0,0,0.05,0.16,0.14,0.34,0.3,12,1.592794528,9,4621.111111,0.874480548,harddrinks
C0114,m,0,0,0.11,0,0.34,0,0,0,0,0.54,0,0.27,8740,5,0,0.66,0.34,0.29,0.34,0,0,0,0,0.37,5,2.012088146,3,2913.333333,0.130720511,snacks
C0115,f,0.06,0.19,0,0.05,0,0,0.61,0,0.07,0,0.02,0.55,91518,7,0.31,0.63,0.07,0,0.31,0.05,0.06,0.5,0,0.08,7,1.992857081,6,15253,1.150276893,koreanbeef
C0116,m,0,0,0.09,0,0,0,0.91,0,0,0,0,0.18,70678,3,0,0.33,0.67,0,0.24,0.67,0,0,0,0.09,3,3.006792225,3,23559.33333,0.905769573,importedbeef
C0117,m,0,1,0,0,0,0,0,0,0,0,0,0.09,1000,1,1,0,0,0,0,0,0,1,0,0,1,3.31662479,1,1000,0,softdrinks
C0118,f,0.02,0,0.3,0.28,0.2,0,0,0.08,0.11,0,0,0.55,35280,6,0.7,0.3,0,0,0,0,0.8,0,0.2,0,6,1.296346003,3,11760,0.957183515,banana/importedfruits
C0120,m,0,0,0.7,0,0.3,0,0,0,0,0,0,0.18,8600,2,0,1,0,0,0,0,0,1,0,0,2,2.42808963,1,8600,0,bottledfoods
C0121,f,0.14,0,0.07,0.5,0.03,0.02,0.14,0.02,0.02,0.01,0.06,0.91,207528,37,0.07,0.73,0.21,0.1,0.19,0.16,0.27,0.04,0,0.24,37,1.586834216,20,10376.4,0.798975946,milk
C0122,f,0.19,0,0.6,0,0,0,0,0,0,0.21,0,0.27,12560,4,0.03,0.75,0.21,0,0,0,0,0.81,0.19,0,4,2.045533741,2,6280,0.873749781,icecream
C0123,f,0.17,0.01,0.06,0.07,0.31,0,0.28,0,0,0,0.1,0.64,53279,12,0.96,0.04,0,0.3,0.66,0,0,0,0.04,0,12,1.255524171,3,17759.66667,0.924621563,banana/importedfruits
C0124,m,0,0,0,1,0,0,0,0,0,0,0,0.09,2000,1,0,1,0,0,0,0,0,0,1,0,1,3.31662479,1,2000,0,fruitvegetables
C0125,f,0.1,0.07,0.04,0.44,0.04,0,0.14,0.03,0.02,0.01,0.12,0.91,248942,56,0.8,0.19,0.01,0.37,0.19,0.08,0.23,0.01,0.01,0.11,56,1.361940042,27,9220.074074,0.935482124,fruitvegetables
C0126,f,0.07,0,0.23,0.19,0.21,0,0,0.04,0.07,0.12,0.07,0.73,68130,18,0.24,0.76,0,0,0.37,0,0.24,0,0,0.39,18,0.945403983,5,13626,0.537906275,beans
C0128,m,0,1,0,0,0,0,0,0,0,0,0,0.09,830,1,0,1,0,0,1,0,0,0,0,0,1,3.31662479,1,830,0,softdrinks
C0130,f,0.19,0,0.25,0,0.17,0,0,0,0.04,0.16,0.19,0.55,46162,12,0.04,0.56,0.4,0.04,0.28,0,0.69,0,0,0,12,1.0963453,6,7693.666667,0.787514734,chilledagriculturalproducts
C0132,f,0.4,0.01,0.21,0,0,0,0,0,0.08,0.17,0.13,0.55,73160,18,0,0.75,0.25,0.18,0.18,0.29,0.01,0.01,0.06,0.27,18,1.418266807,14,5225.714286,0.76767125,milk
C0133,f,0.02,0.06,0.05,0.1,0.13,0,0.03,0.17,0.08,0.35,0.02,0.91,240342,30,0.27,0.72,0.01,0.05,0.22,0.12,0.21,0,0,0.41,30,1.113074213,17,14137.76471,1.228960979,bakery
C0134,f,0.36,0.15,0.31,0,0,0,0,0,0.18,0,0,0.36,11224,4,0,1,0,0,0,0,0,0.64,0.36,0,4,1.517780133,2,5612,0.390093121,chilledseafood
C0135,f,0.11,0.04,0.09,0,0,0,0.34,0.05,0.09,0.06,0.21,0.73,72054,16,0.06,0.77,0.16,0.04,0.04,0.1,0.28,0.16,0,0.38,16,1.126374982,9,8006,0.92995808,eidbleherbs
C0136,m,0,0.01,0,0,0,0,0.37,0,0,0.55,0.07,0.36,14450,5,0,0.59,0.41,0.41,0,0,0.07,0.14,0.37,0,5,2.082599752,4,3612.5,0.677012824,chilledlivestock
C0137,m,0,0,0,0,0,0,0.12,0,0.15,0.68,0.04,0.36,77142,5,0,1,0,0,1,0,0,0,0,0,5,2.248472084,2,38571,0.047994751,beans
C0138,m,1,0,0,0,0,0,0,0,0,0,0,0.09,5060,1,1,0,0,0,0,0,0,0,0,1,1,3.31662479,1,5060,0,icecream
C0139,f,0.12,0.38,0.03,0.23,0.1,0,0,0,0.04,0.1,0,0.64,175290,32,0.44,0.55,0.01,0.16,0.16,0,0.05,0.44,0.15,0.03,32,1.317868285,20,8764.5,1.291741186,cooky/cakes
C0141,f,0.15,0.12,0.12,0.01,0.18,0,0.07,0.04,0.12,0.17,0.04,0.91,194260,56,0.38,0.42,0.19,0.1,0.07,0.15,0.26,0.06,0.04,0.32,56,0.70476057,30,6475.333333,1.058838845,softdrinks
C0142,f,0.04,0,0,0.03,0.28,0,0.23,0,0.21,0.1,0.12,0.64,62500,17,0.02,0.28,0.71,0.06,0,0.29,0,0.48,0,0.18,17,1.13452522,12,5208.333333,0.692523259,eidbleherbs
C0145,m,0,0,0,0,0.02,0,0.41,0,0.34,0,0.22,0.36,43280,6,0.3,0.7,0,0,0.13,0,0.21,0.09,0,0.58,6,1.730265388,4,10820,0.889454788,otherlivefish
C0146,f,0.35,0,0.1,0,0.02,0,0.1,0,0.28,0.14,0,0.55,107410,25,0.3,0.7,0,0,0.1,0.04,0.14,0.28,0.34,0.09,25,1.363033387,16,6713.125,0.825130857,fermentedmilk
C0147,f,0.17,0.05,0.17,0.12,0.13,0,0.09,0.04,0.03,0.19,0.02,0.91,288791,79,0.5,0.38,0.12,0.33,0.13,0.13,0.16,0.1,0.02,0.13,79,0.744283842,34,8493.852941,1.086325275,snacks
C0148,m,0,0,0,0.06,0,0,0.94,0,0,0,0,0.18,45190,4,0,0,1,0,0.58,0.26,0,0,0,0.15,4,3.120139874,3,15063.33333,0.666262649,koreanchicken
C0149,m,0,0.25,0,0,0,0,0,0,0,0.26,0.49,0.27,13220,4,0,0.7,0.3,0.26,0.19,0,0,0.25,0.3,0,4,1.837584171,4,3305,0.187146668,beans
C0151,m,0,0,0,0,0,0,0,1,0,0,0,0.09,1890,1,1,0,0,0,0,0,0,1,0,0,1,3.31662479,1,1890,0,artificialpowders
C0152,f,0.08,0.17,0.2,0.16,0.09,0,0.14,0.04,0.02,0.12,0,0.82,44910,20,0.07,0.42,0.51,0.12,0,0,0.27,0.54,0,0.08,20,0.763020582,11,4082.727273,0.436603353,softdrinks
C0154,f,0.24,0,0,0,0,0,0.17,0,0.33,0,0.26,0.36,44864,10,0.47,0.43,0.1,0,0.52,0.11,0,0.37,0,0,10,1.447259142,6,7477.333333,1.011940698,eidbleherbs
C0155,m,0,0,0,0.56,0,0,0,0,0,0,0.44,0.18,8880,2,0,1,0,0,0,0.56,0,0.44,0,0,2,2.245625894,2,4440,0.175184112,beans
C0156,m,0,0,0,1,0,0,0,0,0,0,0,0.09,6990,1,0,1,0,1,0,0,0,0,0,0,1,3.31662479,1,6990,0,tomato/plum/melon
C0157,f,0.02,0.01,0.04,0.08,0.12,0,0.4,0.01,0.14,0.07,0.12,0.91,750368,112,0.33,0.47,0.2,0.09,0.07,0.19,0.31,0.09,0.08,0.17,112,1.250611624,34,22069.64706,0.859218769,eidbleherbs
C0158,f,0.23,0.29,0,0,0.06,0,0.09,0.12,0.14,0.05,0.01,0.73,176176,30,0.17,0.83,0,0.05,0.27,0.24,0.08,0.04,0,0.32,30,1.087319773,24,7340.666667,0.788822239,milk
C0159,m,0,0.51,0,0,0,0,0,0,0,0.49,0,0.18,2660,2,0,0,1,0,1,0,0,0,0,0,2,2.225551209,1,2660,0,snacks
C0160,m,0,0,0.12,0,0.88,0,0,0,0,0,0,0.18,6840,2,1,0,0,0,0,0,1,0,0,0,2,2.892473937,1,6840,0,hairproducts
C0161,m,0,0,0,0,0,0,1,0,0,0,0,0.09,4000,1,0,0,1,0,0,0,0,0,0,1,1,3.31662479,1,4000,0,chilledlivestock
C0162,f,0.07,0,0.31,0.18,0.1,0,0.21,0.04,0.08,0,0.02,0.73,162200,20,0.69,0.31,0,0.44,0.17,0,0.1,0.16,0,0.13,20,1.115731219,8,20275,0.699459665,chillednoodles
C0163,f,0.17,0.07,0.35,0.41,0,0,0,0,0,0,0,0.36,28833,7,0,1,0,0,0.21,0.35,0.13,0.31,0,0,7,1.678546341,4,7208.25,0.39001238,banana/importedfruits
C0164,f,0.08,0,0.15,0.58,0.17,0,0,0,0,0,0.03,0.45,35440,7,0.21,0,0.79,0.2,0.45,0,0.03,0,0.11,0.21,7,1.904188893,5,7088,0.784856519,banana/importedfruits
C0166,m,0,0,0,0,0,0,0,0,0,0,1,0.09,4380,1,0,1,0,0,0,0,0,1,0,0,1,3.31662479,1,4380,0,mushrooms
C0167,f,0,0.66,0.04,0,0.05,0,0.02,0,0.16,0.06,0,0.55,82720,20,0,0.14,0.86,0.35,0.08,0.12,0,0.17,0.14,0.14,20,2.157062542,16,5170,0.538593556,harddrinks
C0168,f,0,0.27,0.12,0,0,0,0,0.21,0.18,0,0.21,0.45,32357,7,0,1,0,0,0.34,0,0.48,0,0.18,0,7,1.206347762,3,10785.66667,0.441252393,eidbleherbs
