custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2427,f,0.1,0.08,0.04,0.22,0.1,0,0.18,0.06,0.12,0.06,0.05,0.91,383479,83,0.12,0.37,0.51,0.12,0.25,0.23,0.16,0.09,0.03,0.11,83,0.68860747,47,8159.12766,1.110381455,banana/importedfruits
C2428,f,0.68,0,0,0,0,0,0,0,0.32,0,0,0.18,4510,2,0,0,1,0.68,0,0,0.32,0,0,0,2,2.391861076,2,2255,0.504852292,chilledseafood
C2429,m,0,0,0,0,0,0,0,0,0,1,0,0.09,8260,2,0,1,0,0.3,0,0,0,0.7,0,0,2,3.31662479,2,4130,0.558152084,bakery
C2430,f,0,0,0,0,0.3,0,0.45,0,0.25,0,0,0.27,40031,4,0,0.63,0.37,0,0.08,0.3,0,0,0,0.62,4,1.790682112,4,10007.75,0.496822233,hairproducts
C2431,m,1,0,0,0,0,0,0,0,0,0,0,0.09,3480,1,0,1,0,1,0,0,0,0,0,0,1,3.31662479,1,3480,0,milk
C2432,f,0,0,0.33,0,0,0,0,0,0,0.67,0,0.18,3000,2,0.33,0.67,0,0,0,0,0,0,1,0,2,2.371122566,2,1500,0.471404521,bottledfoods
C2434,m,0,0,0,1,0,0,0,0,0,0,0,0.09,3490,1,0,0,1,0,0,0,0,0,0,1,1,3.31662479,1,3490,0,banana/importedfruits
C2435,f,0.04,0.29,0.13,0.13,0.04,0,0,0.08,0.22,0.02,0.05,0.82,45850,11,0.38,0.06,0.56,0.33,0.25,0,0,0.38,0,0.04,11,1.020319274,7,6550,0.993563185,chilledagriculturalproducts
C2436,m,0,0,1,0,0,0,0,0,0,0,0,0.09,1190,1,0,0,1,1,0,0,0,0,0,0,1,3.31662479,1,1190,0,pre-processedmeals
C2437,f,0.14,0,0.08,0,0,0,0.13,0,0.61,0,0.04,0.45,49085,11,0,1,0,0.2,0.12,0.23,0.04,0.08,0.22,0.1,11,1.978341759,9,5453.888889,0.624635676,livefish
C2439,f,0.14,0,0.1,0.21,0.11,0,0.23,0.06,0.01,0,0.13,0.82,134278,23,0.07,0.93,0,0.4,0.04,0.21,0.03,0,0,0.33,23,0.921614418,13,10329.07692,1.057094398,eggs
C2440,f,0.25,0,0,0.42,0,0,0,0,0,0.18,0.14,0.36,20080,9,0,0.79,0.21,0,0,0,0.12,0.18,0,0.7,9,1.575464796,5,4016,1.224371352,beans
C2442,f,0.17,0.01,0.17,0.3,0.02,0,0.11,0,0.08,0,0.14,0.73,192734,44,0.37,0.34,0.29,0.05,0.16,0.09,0.27,0.03,0.03,0.37,44,1.075441733,27,7138.296296,0.828927263,milk
C2444,f,0.01,0.35,0.12,0.08,0,0,0.14,0.05,0.21,0,0.04,0.73,125494,18,0.97,0.03,0,0,0,0,0.08,0.45,0.33,0.14,18,1.203894104,9,13943.77778,0.844975142,softdrinks
