"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"1247","C1467",0.08,0.18,0.08,0.29,0.05,0,0.22,0.04,0.01,0.03,0.02,0.91,269482,53,0,0.45,0.55,0.09,0.22,0.29,0.15,0.21,0.01,0.04,27,1.05771991703059,22,12249.1818181818,0.995841143077842,"fermentedmilk"
"1248","C1468",0,0.04,0.03,0.05,0.06,0,0,0,0.13,0.6,0.09,0.64,76150,10,0,0.86,0.14,0,0,0.72,0.22,0,0,0.06,9,1.912445689363,6,12691.6666666667,1.28507490886795,"cooky/cakes"
"1249","C1469",0.56,0,0,0,0,0,0,0,0,0.44,0,0.18,1980,2,0,0,1,1,0,0,0,0,0,0,2,2.24158233353689,1,1980,0,"chilleddairymilks"
"1250","C1470",0,0,0,0,0,0,0,0,0,1,0,0.09,8320,1,0,1,0,0,1,0,0,0,0,0,1,3.3166247903554,1,8320,0,"bakery"
"1251","C1471",0.09,0.03,0.09,0.14,0.06,0,0,0.02,0.23,0.17,0.14,0.91,325501,78,0.05,0.85,0.1,0.17,0.19,0.28,0.15,0.06,0.1,0.05,37,0.842840791166445,36,9041.69444444445,1.15175502558541,"banana/importedfruits"
"1252","C1472",0.09,0.32,0,0.24,0,0,0.14,0,0.14,0.05,0.02,0.64,148124,21,0.1,0.18,0.72,0.01,0.12,0.02,0.14,0.4,0.21,0.11,14,1.20285682961096,17,8713.17647058824,0.77497148327535,"harddrinks"
"1253","C1473",0.05,0,0.1,0.03,0,0,0.03,0,0,0.65,0.14,0.55,98060,26,0,0.69,0.31,0.05,0.17,0.13,0.35,0.05,0.06,0.19,14,2.11495261053797,19,5161.05263157895,0.68669032690027,"snacks"
"1254","C1475",0.03,0.17,0.11,0.6,0,0,0,0.02,0,0.07,0,0.55,92320,17,0,0.57,0.43,0,0.11,0.32,0.01,0.39,0.04,0.14,8,1.96720023933251,14,6594.28571428571,0.914196527229251,"dryfruits"
"1255","C1476",0,0,0.74,0,0,0,0,0,0.26,0,0,0.18,13590,2,0.26,0.74,0,0.74,0,0,0,0,0.26,0,2,2.50917538977263,2,6795,0.667042600059716,"chilledseafood"
"1256","C1477",0.29,0.33,0.26,0,0,0,0,0.08,0,0.05,0,0.45,37660,12,0.16,0.84,0,0.1,0.1,0.46,0.1,0.11,0,0.13,6,1.45328829997645,11,3423.63636363636,0.867830302583277,"fermentedmilk"
"1257","C1478",0.52,0.03,0.16,0,0,0.07,0,0,0,0.21,0,0.45,17000,9,0,0.48,0.52,0.14,0,0.23,0.15,0.48,0,0,7,1.76104964374968,6,2833.33333333333,0.612702900507789,"chilleddairymilks"
"1258","C1479",0,0,0,0,0,0,0,0,1,0,0,0.09,2980,1,0,0,1,0,0,1,0,0,0,0,1,3.3166247903554,1,2980,0,"otherlivefish"
"1259","C1480",0.21,0.11,0.07,0.15,0.15,0,0,0.06,0,0,0.25,0.64,108655,29,0.27,0.27,0.46,0.08,0,0.22,0.06,0.4,0.08,0.16,19,0.994388246650136,17,6391.47058823529,1.04178007704362,"beans"
"1260","C1481",0,0.05,0.19,0.38,0.24,0,0,0.01,0,0,0.13,0.55,156570,19,0.14,0.78,0.08,0,0,0,0.09,0.16,0.51,0.24,12,1.41538038145118,14,11183.5714285714,0.661278845851026,"beans"
"1261","C1482",0,0,0,0,0,0,0,0,0,1,0,0.09,5080,2,0.51,0.49,0,0.51,0,0,0,0,0.49,0,1,3.3166247903554,2,2540,0.0222710797224109,"cooky/cakes"
"1262","C1486",0,0,0,0,0.47,0,0,0.21,0,0,0.32,0.27,21234,4,0,0,1,0,0,0.47,0,0.53,0,0,4,1.82400722750725,2,10617,0.0955063694284176,"eidbleherbs"
"1263","C1487",0.05,0.02,0.28,0.07,0.16,0,0.18,0,0.07,0,0.17,0.73,108240,18,0,0.19,0.81,0.58,0.12,0,0,0,0,0.3,12,1.01460169552808,6,18040,0.711272123651564,"lattuce"
