"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"1","C0001",0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.28533481296636,1,5840,0,"cheese/butter"
"2","C0002",0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,7,1.90113639896531,4,22542,0.605678634520922,"koreanbeef"
"3","C0003",0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.73150728483592,2,4990,0.0113363812615078,"chilledlivestock"
"4","C0004",0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,24,0.799674042265745,9,22394,0.46121220593301,"beans"
"5","C0005",0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,15,1.3245155125678,15,6246.2,1.26525495993263,"chilledlivestock"
"6","C0006",0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.3166247903554,1,3980,0,"bottledfoods"
"7","C0008",0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,9,1.38022909485249,4,10637.5,0.303585407966028,"chilleddairymilks"
"8","C0011",0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,2,2.2859927480741,5,3438,0.505114267441633,"fermentedmilk"
"9","C0012",0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,13,1.4317189036768,9,5972.22222222222,0.641028358505979,"icecream"
"10","C0013",0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.44271238421894,3,3550,0.834430673393934,"eggs"
"11","C0015",0,0,0.42,0,0.25,0,0,0,0,0.21,0.11,0.36,46800,6,0,1,0,0,0,0,0,1,0,0,6,1.59119847439664,1,46800,0,"beans"
"12","C0016",0.07,0.05,0,0.03,0.02,0,0.21,0.07,0.16,0,0.37,0.82,609108,81,0.08,0.68,0.24,0.04,0.18,0.2,0.06,0.11,0,0.41,25,1.27892237862871,34,17914.9411764706,0.842665805137858,"othervegetables"
"13","C0017",0,0,0.44,0.16,0.08,0,0.11,0,0,0.19,0.03,0.55,51426,10,0.16,0.73,0.12,0,0.04,0.39,0.22,0.19,0,0.16,8,1.47899714688823,9,5714,0.531182233678943,"importedbeef"
"14","C0019",0.07,0.08,0.01,0.48,0,0,0.07,0.08,0.09,0,0.11,0.73,53210,13,0,1,0,0.13,0,0.2,0.48,0,0.19,0,11,1.48087407627781,5,10642,0.523070641089976,"apple/sweetmelon"
"15","C0020",0,0,1,0,0,0,0,0,0,0,0,0.09,10000,1,0,0,1,0,1,0,0,0,0,0,1,3.3166247903554,1,10000,0,"otherreadymadefoods"
"16","C0021",0,0,0.08,0,0,0,0,0,0,0.92,0,0.18,40090,2,0,1,0,0,0.92,0,0,0,0.08,0,2,3.03769746211243,2,20045,1.18915288569711,"maincereals"
"17","C0022",0.14,0.06,0.09,0.18,0.11,0,0.02,0.04,0.02,0.01,0.34,0.91,191418,46,0.08,0.89,0.03,0.07,0.02,0.44,0.1,0.12,0.02,0.23,21,1.10006833531364,22,8700.81818181818,1.52601792223754,"rootvegetables"
"18","C0023",0,0.06,0.15,0.23,0.16,0,0.04,0,0.08,0.06,0.21,0.82,267788,69,0.07,0.82,0.11,0.14,0.18,0.24,0.15,0.06,0,0.22,30,0.907735197428152,42,6375.90476190476,0.67386197535076,"beans"
"19","C0024",0.18,0.03,0.14,0.09,0.17,0,0.14,0.07,0.12,0.04,0.03,0.91,154058,34,0.23,0.64,0.13,0.11,0.32,0.04,0.19,0.17,0.13,0.04,19,0.69820456723487,18,8558.77777777778,0.979691946443263,"milk"
"20","C0025",0.28,0,0.45,0,0.28,0,0,0,0,0,0,0.27,12970,3,0,0.72,0.28,0,0,0,0,0,1,0,3,1.77916816846618,2,6485,0.62914512373884,"chilledagriculturalproducts"
"21","C0026",0,1,0,0,0,0,0,0,0,0,0,0.09,8820,2,0,0,1,0,0,0,0,0,1,0,2,3.3166247903554,1,8820,0,"harddrinks"
"22","C0027",0,0,0,0,0,0,0,0,0,0,1,0.09,1990,1,0,1,0,0,0,0,1,0,0,0,1,3.3166247903554,1,1990,0,"lattuce"
"23","C0028",0,0,0.02,0.63,0,0,0,0,0,0.35,0,0.27,28630,7,0,0.46,0.54,0.37,0.17,0,0,0.46,0,0,5,2.26848890451952,4,7157.5,0.792825367257972,"cooky/cakes"
"24","C0030",0.03,0.16,0.21,0,0.21,0,0,0.32,0,0.07,0,0.55,13920,8,0.07,0.79,0.14,0,0.03,0.14,0.62,0.14,0.07,0,8,1.25566192765764,7,1988.57142857143,0.783173058161358,"bottledfoods"
"25","C0031",0,0,0,0.66,0.24,0,0,0,0,0.1,0,0.27,19550,3,0,1,0,0,0,0,0,0,0,1,3,2.23147531486103,2,9775,0.452114310221578,"candy-gum"
"26","C0032",0,0,0.59,0,0,0,0,0,0,0.41,0,0.18,2390,2,0,1,0,0.59,0.41,0,0,0,0,0,2,2.26451848674749,2,1195,0.242605673879903,"bottledfoods"
"27","C0033",0.19,0.22,0.26,0,0.04,0,0,0,0,0.29,0,0.45,22430,10,0,0.41,0.59,0.32,0.28,0,0,0.33,0.04,0.03,7,1.32247730932448,9,2492.22222222222,0.912945274233814,"softdrinks"
"28","C0034",0,0,1,0,0,0,0,0,0,0,0,0.09,13980,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,13980,0,"instantfoods"
"29","C0035",0,0.34,0,0,0,0,0,0,0.66,0,0,0.18,11980,2,0,1,0,0,0.34,0,0,0,0,0.66,2,2.35905324318938,2,5990,0.45094288883683,"harddrinks"
"30","C0036",0,0,0,0.62,0,0,0,0,0,0.38,0,0.18,7906,2,1,0,0,0,0,0,1,0,0,0,2,2.3025271587921,1,7906,0,"cooky/cakes"
"31","C0037",0.03,0.02,0.28,0,0.39,0,0,0.05,0.09,0.14,0,0.64,75830,11,0.31,0.45,0.24,0,0.03,0,0,0.95,0.02,0,10,1.45452072951516,5,15166,0.914745171098513,"bottledfoods"
"32","C0038",0,0,0,0,0.4,0,0,0.6,0,0,0,0.18,9800,3,0,1,0,0,0,0,0,1,0,0,3,2.28078458920551,1,9800,0,"hairproducts"
"33","C0039",0,0,0,0,0,1,0,0,0,0,0,0.09,1600,1,0,1,0,0,0,1,0,0,0,0,1,3.3166247903554,1,1600,0,"cosmetics"
"34","C0041",0.12,0.19,0.07,0.11,0.17,0,0.07,0.05,0.03,0.1,0.08,0.91,558644,114,0.36,0.61,0.02,0.19,0.25,0.08,0.2,0.13,0.08,0.07,47,0.611075073651139,44,12696.4545454545,1.01767305073716,"softdrinks"
"35","C0042",0,0.1,0,0,0,0,0,0,0.51,0,0.4,0.27,19458,6,0.21,0.79,0,0.79,0.21,0,0,0,0,0,6,2.00914958573677,2,9729,0.834224651501613,"eidbleherbs"
"36","C0043",0.09,0,0,0,0,0,0.29,0.06,0.23,0.07,0.26,0.55,34310,8,0,0.35,0.65,0.35,0,0.17,0,0,0.48,0,7,1.25079703145116,3,11436.6666666667,0.459459644145966,"beans"
"37","C0044",0,1,0,0,0,0,0,0,0,0,0,0.09,23600,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,23600,0,"coffee"
"38","C0045",0,0,0,0,0,0,1,0,0,0,0,0.09,16182,2,0,0.56,0.44,1,0,0,0,0,0,0,1,3.3166247903554,2,8091,0.158882725027456,"koreanpork"
"39","C0047",0,0,0.39,0,0,0,0.23,0,0.27,0.11,0,0.36,18940,6,0,0.21,0.79,0.61,0,0,0,0.18,0.21,0,6,1.55808146934605,3,6313.33333333333,0.714082460855293,"chilledlivestock"
"40","C0049",0,0,1,0,0,0,0,0,0,0,0,0.09,11880,1,0,1,0,1,0,0,0,0,0,0,1,3.3166247903554,1,11880,0,"otherreadymadefoods"
"41","C0050",0.2,0.35,0.13,0,0,0,0.09,0,0.22,0,0,0.45,75381,8,0.22,0.71,0.07,0.7,0.13,0,0.09,0.07,0,0,5,1.3429914187703,5,15076.2,0.843964554516845,"fermentedmilk"
"42","C0051",0.17,0.09,0.07,0.4,0.17,0,0,0.03,0,0.01,0.07,0.73,175670,45,0.05,0.7,0.25,0.16,0.06,0.34,0.12,0.14,0.02,0.17,20,1.31581557045741,28,6273.92857142857,1.09021670012055,"fermentedmilk"
"43","C0052",0,0,0,0,0,0,0,0,0,1,0,0.09,1500,1,0,1,0,0,0,0,1,0,0,0,1,3.3166247903554,1,1500,0,"bread"
"44","C0053",0.06,0.32,0,0,0.5,0,0,0.12,0,0,0,0.36,31470,5,0,0.5,0.5,0,0,0.82,0.12,0.06,0,0,5,1.84012972332207,3,10490,1.26657652725912,"harddrinks"
"45","C0054",0,0,0,0,0,0,0,0,0,0,1,0.09,600,1,0,1,0,0,0,0,1,0,0,0,1,3.3166247903554,1,600,0,"eidbleherbs"
"46","C0055",0.12,0,0.35,0.45,0,0,0,0,0,0,0.08,0.36,56931,11,0.45,0.44,0.11,0,0,0.85,0,0,0,0.15,9,1.74874297832171,6,9488.5,0.608303291741922,"apple/sweetmelon"
"47","C0056",0,0,0.48,0,0,0,0,0,0.24,0.29,0,0.27,20970,3,0,1,0,0,1,0,0,0,0,0,3,1.82244816194715,1,20970,0,"otherlivefish"
"48","C0057",0,0,0.07,0.13,0,0,0.62,0,0,0.13,0.05,0.45,29756,6,0.57,0.35,0.07,0,0,0.05,0.07,0.13,0.4,0.35,6,2.00277380585801,6,4959.33333333333,0.764682566067288,"banana/importedfruits"
"49","C0058",0,0.03,0.04,0.05,0.09,0,0.39,0,0.25,0,0.14,0.64,170683,23,0,0.78,0.22,0,0.23,0,0.03,0.74,0.01,0,16,1.39025221469075,9,18964.7777777778,1.5105562395033,"harddrinks"
"50","C0059",0.02,0.03,0.09,0.33,0.2,0,0.13,0,0.04,0.07,0.09,0.82,87864,18,0.11,0.37,0.52,0.23,0,0.04,0.4,0.3,0,0.03,15,1.09272655972059,13,6758.76923076923,0.740758739151529,"kitchen/housedetergents"
"51","C0060",0,0,0,0,0.24,0,0.23,0,0.53,0,0,0.27,30340,4,0.23,0.77,0,0,0.57,0,0.43,0,0,0,4,1.8996042206098,3,10113.3333333333,0.624220466771791,"driedfish"
"52","C0062",0.11,0,0.72,0,0,0,0,0.14,0,0.02,0,0.36,27717,4,0.83,0.17,0,0.14,0,0,0.11,0.02,0,0.72,4,2.36757602657263,4,6929.25,1.27366480475267,"milk"
"53","C0063",0,0,0,0,0.09,0,0.17,0,0,0,0.74,0.27,47390,3,0,1,0,0,0,0.09,0,0,0.91,0,3,2.43554278438101,2,23695,1.14861954031949,"dentalproducts"
"54","C0065",0,0,0,0.5,0,0,0.5,0,0,0,0,0.18,19800,2,0.5,0.5,0,0,0,0,0.5,0,0,0.5,2,2.2248595461287,2,9900,0,"apple/sweetmelon"
"55","C0066",0,0,1,0,0,0,0,0,0,0,0,0.09,2990,1,0,0,1,0,0,0,0,0,0,1,1,3.3166247903554,1,2990,0,"bottledfoods"
"56","C0067",0,0.02,0.07,0,0,0,0.67,0,0.24,0,0,0.36,91204,7,0.07,0.51,0.42,0.22,0.07,0,0.44,0.27,0,0,4,2.25960427801615,7,13029.1428571429,1.01950508527681,"otherlivefish"
"57","C0068",0,0,1,0,0,0,0,0,0,0,0,0.09,990,1,0,0,1,0,0,0,0,1,0,0,1,3.3166247903554,1,990,0,"processeddryfoods"
"58","C0069",0.1,0.06,0.08,0.17,0.06,0,0.27,0,0.13,0.04,0.08,0.91,338064,58,0.32,0.6,0.08,0.02,0,0.03,0.03,0.08,0.75,0.09,27,0.865969999410868,20,16903.2,1.27622534199894,"harddrinks"
"59","C0070",0.06,0.01,0.16,0.22,0,0,0.18,0,0.21,0.11,0.04,0.91,549298,69,0,0.06,0.94,0.08,0.17,0.19,0.4,0,0,0.15,31,0.970774214960549,34,16155.8235294118,0.727417699666857,"otherlivefish"
"60","C0071",0,0,0.11,0,0,0,0,0,0.83,0,0.06,0.27,17890,3,0,0.17,0.83,0,0,0,0,1,0,0,3,2.73512519400279,2,8945,0.941491533139383,"chillednoodles"
"61","C0072",0.11,0.48,0.04,0.11,0,0,0,0,0.19,0,0.06,0.55,148215,23,0.43,0.27,0.3,0.16,0.23,0.22,0.26,0.07,0.01,0.05,16,1.59185505368623,17,8718.52941176471,0.852590174673023,"harddrinks"
"62","C0073",0.34,0.01,0.03,0.15,0.1,0,0.22,0.02,0,0.07,0.08,0.82,106870,24,0,0.8,0.2,0.16,0.06,0.09,0.02,0.08,0,0.6,17,1.16419401568576,17,6286.47058823529,0.793634417696967,"eggs"
"63","C0075",0.03,0.21,0.06,0.27,0.01,0,0.16,0.02,0.1,0.1,0.04,0.91,218109,38,0.57,0.37,0.06,0.07,0.04,0.32,0.05,0.2,0.33,0,23,0.971836050295592,13,16777.6153846154,0.501322967886598,"harddrinks"
"64","C0076",0.24,0.02,0.09,0,0,0,0.14,0.28,0.03,0.1,0.11,0.73,60743,15,0.25,0.51,0.24,0.11,0.21,0.49,0,0,0.06,0.13,12,1.06038929350315,13,4672.53846153846,0.925922458330359,"cooky/cakes"
"65","C0078",0.25,0.03,0.06,0,0,0,0,0.13,0,0.11,0.42,0.55,53290,14,0,0.46,0.54,0.14,0.11,0.04,0,0.11,0.38,0.22,10,1.49756254187611,10,5329,0.790521863607734,"milk"
"66","C0079",0.23,0,0,0,0,0,0.77,0,0,0,0,0.18,4192,2,0,1,0,0,0,0,0.23,0.77,0,0,2,2.58766720189598,2,2096,0.759734957648905,"chilleddairymilks"
"67","C0080",0,0,0.21,0.1,0,0,0,0,0,0.64,0.05,0.36,19180,9,0,1,0,0.16,0,0,0,0,0,0.84,5,2.12100715057195,3,6393.33333333333,0.669259716625057,"bakery"
"68","C0084",0,0.63,0,0.01,0.08,0,0,0.11,0,0.11,0.06,0.55,97586,10,0.08,0.92,0,0,0.08,0.59,0.18,0,0.15,0,9,2.03992218961747,5,19517.2,0.893580933589012,"softdrinks"
"69","C0085",0.18,0.02,0.06,0.14,0.08,0,0.41,0,0,0.05,0.06,0.73,234566,29,0.28,0.48,0.24,0,0.03,0.23,0.25,0,0.06,0.42,18,1.32212563905128,14,16754.7142857143,0.853583917839537,"banana/importedfruits"
"70","C0087",1,0,0,0,0,0,0,0,0,0,0,0.09,1490,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1490,0,"chinesecabbages"
"71","C0089",0,1,0,0,0,0,0,0,0,0,0,0.09,1500,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1500,0,"softdrinks"
"72","C0090",0,1,0,0,0,0,0,0,0,0,0,0.09,8360,1,0,0,1,0,0,1,0,0,0,0,1,3.3166247903554,1,8360,0,"harddrinks"
"73","C0091",0,0.15,0,0,0,0,0,0,0.18,0.67,0,0.27,43370,6,0,1,0,0.65,0,0,0,0,0,0.35,6,2.22983069371172,2,21685,0.430753081829573,"cooky/cakes"
"74","C0093",0.19,0,0,0.37,0,0,0,0,0.44,0,0,0.27,13560,3,0.19,0.44,0.37,0,0,0,0.19,0,0.81,0,3,1.824503956077,3,4520,0.383509897922296,"banana/importedfruits"
"75","C0094",0,0,0.07,0,0.1,0,0.03,0,0.15,0.03,0.63,0.55,46384,16,0.15,0.65,0.2,0.11,0.4,0,0.31,0.09,0,0.09,9,2.05635701097111,10,4638.4,0.459935843482698,"eidbleherbs"
"76","C0095",0.4,0,0.11,0,0,0,0,0,0.11,0.29,0.1,0.45,18790,10,0,0.54,0.46,0.55,0,0.1,0.35,0,0,0,7,1.50069838385014,5,3758,0.885788737609902,"icecream"
"77","C0096",0,0,0,0,0,0,0,0,0,0,1,0.09,1557,1,0,1,0,0,0,1,0,0,0,0,1,3.3166247903554,1,1557,0,"rootvegetables"
"78","C0097",0,0,0.11,0.2,0.33,0,0,0,0.2,0.04,0.12,0.55,50303,14,0.56,0.44,0,0.3,0.26,0.11,0.04,0,0.02,0.28,13,1.23287552663233,11,4573,0.792650774990643,"snacks"
"79","C0098",0.12,0,0,0.2,0.01,0,0,0,0.12,0.03,0.53,0.55,112815,27,0.22,0.69,0.1,0.14,0.25,0.19,0.05,0.18,0.09,0.09,12,1.75415871624765,16,7050.9375,0.762007299837045,"beans"
"80","C0099",0.21,0.07,0.07,0.27,0,0,0,0.18,0,0.2,0,0.55,43290,10,0.17,0.83,0,0.44,0,0.35,0.13,0,0,0.08,9,1.14476006292781,7,6184.28571428571,0.434985314005263,"soysaucesandpastes"
"81","C0100",0.11,0.06,0.06,0.38,0.14,0,0.03,0.08,0,0.08,0.06,0.82,218220,54,0.13,0.71,0.16,0.06,0.05,0.32,0.23,0.12,0.08,0.14,26,1.14926709803052,25,8728.8,0.840653806934744,"beans"
"82","C0101",0,0,0.49,0,0,0,0.51,0,0,0,0,0.18,2740,2,0,1,0,0,0,0,0,0,1,0,2,2.2251492893995,1,2740,0,"chilledlivestock"
"83","C0102",0.02,0.06,0,0,0.33,0,0.15,0,0.05,0.38,0,0.55,38810,8,0,0.7,0.3,0,0,0,0,0,0.85,0.15,7,1.54075101064247,4,9702.5,0.468311230903959,"harddrinks"
"84","C0103",0.2,0,0,0,0,0,0.51,0,0,0.29,0,0.27,6921,3,0,1,0,0,0,0,0,0.49,0,0.51,3,1.88361586451432,2,3460.5,0.0288114596582295,"fermentedmilk"
"85","C0104",0.39,0,0,0,0,0,0,0.15,0.2,0.25,0,0.36,11880,5,0.17,0.29,0.55,0,0.17,0.6,0.08,0,0,0.15,4,1.52510428256639,5,2376,0.585203020054227,"cooky/cakes"
"86","C0105",0.12,0.34,0.32,0,0,0,0,0.18,0,0.04,0,0.45,97190,13,0,0.93,0.07,0,0,0.35,0.02,0.39,0.15,0.08,8,1.45652469603062,9,10798.8888888889,0.699042269021901,"ramen"
"87","C0106",0.07,0.29,0.1,0.19,0.03,0,0.14,0.03,0.02,0.04,0.1,0.91,249354,35,0.02,0.14,0.84,0.33,0,0.16,0.06,0.25,0.07,0.12,21,0.952551684200183,23,10841.4782608696,0.688278357954285,"harddrinks"
"88","C0107",0,0,0,1,0,0,0,0,0,0,0,0.09,690,1,0,0,1,1,0,0,0,0,0,0,1,3.3166247903554,1,690,0,"fruitvegetables"
"89","C0108",0.06,0,0.2,0,0.18,0,0.39,0.07,0.02,0.05,0.03,0.73,104208,18,0.23,0.23,0.54,0.11,0,0.34,0.1,0.22,0.13,0.1,16,1.33519138147948,10,10420.8,0.9518604582533,"icecream"
"90","C0109",0,0,0,0,0,0,0,0,1,0,0,0.09,3990,1,0,1,0,0,0,0,0,0,1,0,1,3.3166247903554,1,3990,0,"driedfish"
"91","C0111",0,0,0,0.1,0,0,0.9,0,0,0,0,0.18,13260,2,0,1,0,0,0,0.9,0,0,0,0.1,2,2.97905009368742,2,6630,1.13904983756747,"fruitvegetables"
"92","C0113",0.01,0.5,0,0.03,0,0,0.07,0.1,0.12,0.04,0.12,0.73,41590,12,0,0.13,0.87,0,0,0.05,0.16,0.14,0.34,0.3,10,1.59279452839951,9,4621.11111111111,0.874480548154058,"harddrinks"
"93","C0114",0,0,0.11,0,0.34,0,0,0,0,0.54,0,0.27,8740,5,0,0.66,0.34,0.29,0.34,0,0,0,0,0.37,4,2.0120881464823,3,2913.33333333333,0.130720510842902,"snacks"
"94","C0115",0.06,0.19,0,0.05,0,0,0.61,0,0.07,0,0.02,0.55,91518,7,0.31,0.63,0.07,0,0.31,0.05,0.06,0.5,0,0.08,6,1.9928570807501,6,15253,1.15027689346148,"koreanbeef"
"95","C0116",0,0,0.09,0,0,0,0.91,0,0,0,0,0.18,70678,3,0,0.33,0.67,0,0.24,0.67,0,0,0,0.09,2,3.00679222516338,3,23559.3333333333,0.905769572994336,"importedbeef"
"96","C0117",0,1,0,0,0,0,0,0,0,0,0,0.09,1000,1,1,0,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1000,0,"softdrinks"
"97","C0118",0.02,0,0.3,0.28,0.2,0,0,0.08,0.11,0,0,0.55,35280,6,0.7,0.3,0,0,0,0,0.8,0,0.2,0,6,1.29634600250347,3,11760,0.957183514866852,"banana/importedfruits"
"98","C0120",0,0,0.7,0,0.3,0,0,0,0,0,0,0.18,8600,2,0,1,0,0,0,0,0,1,0,0,2,2.42808963048126,1,8600,0,"bottledfoods"
"99","C0121",0.14,0,0.07,0.5,0.03,0.02,0.14,0.02,0.02,0.01,0.06,0.91,207528,37,0.07,0.73,0.21,0.1,0.19,0.16,0.27,0.04,0,0.24,26,1.58683421635928,20,10376.4,0.798975945501263,"milk"
"100","C0122",0.19,0,0.6,0,0,0,0,0,0,0.21,0,0.27,12560,4,0.03,0.75,0.21,0,0,0,0,0.81,0.19,0,3,2.04553374069257,2,6280,0.87374978057446,"icecream"
"101","C0123",0.17,0.01,0.06,0.07,0.31,0,0.28,0,0,0,0.1,0.64,53279,12,0.96,0.04,0,0.3,0.66,0,0,0,0.04,0,12,1.25552417133241,3,17759.6666666667,0.924621562837806,"banana/importedfruits"
"102","C0124",0,0,0,1,0,0,0,0,0,0,0,0.09,2000,1,0,1,0,0,0,0,0,0,1,0,1,3.3166247903554,1,2000,0,"fruitvegetables"
"103","C0125",0.1,0.07,0.04,0.44,0.04,0,0.14,0.03,0.02,0.01,0.12,0.91,248942,56,0.8,0.19,0.01,0.37,0.19,0.08,0.23,0.01,0.01,0.11,27,1.36194004221814,27,9220.07407407407,0.935482123796808,"fruitvegetables"
"104","C0126",0.07,0,0.23,0.19,0.21,0,0,0.04,0.07,0.12,0.07,0.73,68130,18,0.24,0.76,0,0,0.37,0,0.24,0,0,0.39,14,0.945403983386804,5,13626,0.537906274602517,"beans"
"105","C0128",0,1,0,0,0,0,0,0,0,0,0,0.09,830,1,0,1,0,0,1,0,0,0,0,0,1,3.3166247903554,1,830,0,"softdrinks"
"106","C0130",0.19,0,0.25,0,0.17,0,0,0,0.04,0.16,0.19,0.55,46162,12,0.04,0.56,0.4,0.04,0.28,0,0.69,0,0,0,11,1.09634529956352,6,7693.66666666667,0.787514733980032,"chilledagriculturalproducts"
"107","C0132",0.4,0.01,0.21,0,0,0,0,0,0.08,0.17,0.13,0.55,73160,18,0,0.75,0.25,0.18,0.18,0.29,0.01,0.01,0.06,0.27,10,1.41826680665904,14,5225.71428571429,0.767671250134789,"milk"
"108","C0133",0.02,0.06,0.05,0.1,0.13,0,0.03,0.17,0.08,0.35,0.02,0.91,240342,30,0.27,0.72,0.01,0.05,0.22,0.12,0.21,0,0,0.41,21,1.11307421291014,17,14137.7647058824,1.22896097857078,"bakery"
"109","C0134",0.36,0.15,0.31,0,0,0,0,0,0.18,0,0,0.36,11224,4,0,1,0,0,0,0,0,0.64,0.36,0,4,1.51778013287406,2,5612,0.390093120911182,"chilledseafood"
"110","C0135",0.11,0.04,0.09,0,0,0,0.34,0.05,0.09,0.06,0.21,0.73,72054,16,0.06,0.77,0.16,0.04,0.04,0.1,0.28,0.16,0,0.38,13,1.12637498219094,9,8006,0.929958079964828,"eidbleherbs"
"111","C0136",0,0.01,0,0,0,0,0.37,0,0,0.55,0.07,0.36,14450,5,0,0.59,0.41,0.41,0,0,0.07,0.14,0.37,0,5,2.08259975239292,4,3612.5,0.677012824094417,"chilledlivestock"
"112","C0137",0,0,0,0,0,0,0.12,0,0.15,0.68,0.04,0.36,77142,5,0,1,0,0,1,0,0,0,0,0,5,2.24847208425481,2,38571,0.0479947513195505,"beans"
"113","C0138",1,0,0,0,0,0,0,0,0,0,0,0.09,5060,1,1,0,0,0,0,0,0,0,0,1,1,3.3166247903554,1,5060,0,"icecream"
"114","C0139",0.12,0.38,0.03,0.23,0.1,0,0,0,0.04,0.1,0,0.64,175290,32,0.44,0.55,0.01,0.16,0.16,0,0.05,0.44,0.15,0.03,19,1.31786828526595,20,8764.5,1.29174118628305,"cooky/cakes"
"115","C0141",0.15,0.12,0.12,0.01,0.18,0,0.07,0.04,0.12,0.17,0.04,0.91,194260,56,0.38,0.42,0.19,0.1,0.07,0.15,0.26,0.06,0.04,0.32,30,0.704760570181561,30,6475.33333333333,1.05883884462243,"softdrinks"
"116","C0142",0.04,0,0,0.03,0.28,0,0.23,0,0.21,0.1,0.12,0.64,62500,17,0.02,0.28,0.71,0.06,0,0.29,0,0.48,0,0.18,12,1.1345252196051,12,5208.33333333333,0.692523258605147,"eidbleherbs"
"117","C0145",0,0,0,0,0.02,0,0.41,0,0.34,0,0.22,0.36,43280,6,0.3,0.7,0,0,0.13,0,0.21,0.09,0,0.58,4,1.73026538786074,4,10820,0.889454787711226,"otherlivefish"
"118","C0146",0.35,0,0.1,0,0.02,0,0.1,0,0.28,0.14,0,0.55,107410,25,0.3,0.7,0,0,0.1,0.04,0.14,0.28,0.34,0.09,13,1.36303338683887,16,6713.125,0.825130856982437,"fermentedmilk"
"119","C0147",0.17,0.05,0.17,0.12,0.13,0,0.09,0.04,0.03,0.19,0.02,0.91,288791,79,0.5,0.38,0.12,0.33,0.13,0.13,0.16,0.1,0.02,0.13,38,0.744283842111293,34,8493.85294117647,1.08632527521527,"snacks"
"120","C0148",0,0,0,0.06,0,0,0.94,0,0,0,0,0.18,45190,4,0,0,1,0,0.58,0.26,0,0,0,0.15,2,3.12013987429178,3,15063.3333333333,0.666262649355224,"koreanchicken"
"121","C0149",0,0.25,0,0,0,0,0,0,0,0.26,0.49,0.27,13220,4,0,0.7,0.3,0.26,0.19,0,0,0.25,0.3,0,4,1.83758417079044,4,3305,0.187146668169432,"beans"
"122","C0151",0,0,0,0,0,0,0,1,0,0,0,0.09,1890,1,1,0,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1890,0,"artificialpowders"
"123","C0152",0.08,0.17,0.2,0.16,0.09,0,0.14,0.04,0.02,0.12,0,0.82,44910,20,0.07,0.42,0.51,0.12,0,0,0.27,0.54,0,0.08,14,0.763020582052264,11,4082.72727272727,0.436603353120081,"softdrinks"
"124","C0154",0.24,0,0,0,0,0,0.17,0,0.33,0,0.26,0.36,44864,10,0.47,0.43,0.1,0,0.52,0.11,0,0.37,0,0,7,1.44725914228898,6,7477.33333333333,1.01194069828915,"eidbleherbs"
"125","C0155",0,0,0,0.56,0,0,0,0,0,0,0.44,0.18,8880,2,0,1,0,0,0,0.56,0,0.44,0,0,2,2.24562589417796,2,4440,0.175184112456127,"beans"
"126","C0156",0,0,0,1,0,0,0,0,0,0,0,0.09,6990,1,0,1,0,1,0,0,0,0,0,0,1,3.3166247903554,1,6990,0,"tomato/plum/melon"
"127","C0157",0.02,0.01,0.04,0.08,0.12,0,0.4,0.01,0.14,0.07,0.12,0.91,750368,112,0.33,0.47,0.2,0.09,0.07,0.19,0.31,0.09,0.08,0.17,45,1.250611624008,34,22069.6470588235,0.859218769061435,"eidbleherbs"
