"아무무;레오나;소라카;자이라;모르가나;문도;스웨인;나서스;마스터이;케이틀린;애쉬;나미;블리츠크랭크;알리스타;말파이트;워윅;람머스;갈리오;소나;티모;코르키;세주아니"
"탐켄치;피즈;레오나;벨코즈;볼리베어;카서스;아무무;직스"
"자이라;미스포츈;녹턴;아무무;나서스;쉬바나"
"케이틀린;마스터이;신짜오;아무무"
"말파이트;세주아니;아무무;신짜오;케이틀린"
"피들스틱;렉사이;말파이트"
"이블린;리신;진;야스오"
"제드;르블랑;이렐리아;피즈"
"리신;베인;자르반;시비르;피오라"
"신짜오;문도"
"애니;소나;다이애나;케이틀린"
"자이라;직스"
"자이라;룰루;빅토르"
"말파이트;람머스;트린다미어;레넥톤"
"라이즈;케이틀린;그레이브즈;이블린"
"신짜오;트리스타나;미스포츈"
"쓰레쉬;직스;미스포츈"
"알리스타;나미"
